date time unix_time bits_received
2022-11-19 14:42:15 1668868935 32648
2022-11-19 14:39:15 1668868755 31480
2022-11-19 14:36:15 1668868575 41336
2022-11-19 14:33:15 1668868395 39800
2022-11-19 14:30:16 1668868216 31704
2022-11-19 14:27:15 1668868035 31424
2022-11-19 14:24:15 1668867855 31968
2022-11-19 14:21:15 1668867675 32440
2022-11-19 14:18:16 1668867496 32000
2022-11-19 14:15:15 1668867315 32152
2022-11-19 14:12:16 1668867136 32024
2022-11-19 14:09:15 1668866955 31968
2022-11-19 14:06:15 1668866775 753128
2022-11-19 14:03:16 1668866596 41568
2022-11-19 14:00:15 1668866415 31952
2022-11-19 13:57:15 1668866235 30928
2022-11-19 13:54:15 1668866055 32336
2022-11-19 13:51:15 1668865875 32336
2022-11-19 13:48:15 1668865695 31072
2022-11-19 13:45:15 1668865515 32400
2022-11-19 13:42:15 1668865335 31824
2022-11-19 13:39:15 1668865155 31880
2022-11-19 13:36:15 1668864975 37776
2022-11-19 13:33:15 1668864795 41864
2022-11-19 13:30:15 1668864615 31816
2022-11-19 13:27:15 1668864435 31312
2022-11-19 13:24:15 1668864255 32296
2022-11-19 13:21:15 1668864075 31560
2022-11-19 13:18:15 1668863895 32048
2022-11-19 13:15:16 1668863716 32152
2022-11-19 13:12:15 1668863535 32256
2022-11-19 13:09:15 1668863355 31816
2022-11-19 13:06:15 1668863175 40000
2022-11-19 13:03:15 1668862995 42984
2022-11-19 13:00:15 1668862815 31936
2022-11-19 12:57:15 1668862635 31160
2022-11-19 12:54:15 1668862455 32008
2022-11-19 12:51:15 1668862275 31464
2022-11-19 12:48:15 1668862095 32096
2022-11-19 12:45:15 1668861915 32080
2022-11-19 12:42:15 1668861735 32320
2022-11-19 12:39:15 1668861555 32120
2022-11-19 12:36:16 1668861376 38192
2022-11-19 12:33:16 1668861196 41216
2022-11-19 12:30:15 1668861015 31400
2022-11-19 12:27:15 1668860835 30904
2022-11-19 12:24:15 1668860655 32552
2022-11-19 12:21:15 1668860475 31072
2022-11-19 12:18:15 1668860295 32280
2022-11-19 12:15:15 1668860115 32168
2022-11-19 12:12:15 1668859935 30896
2022-11-19 12:09:15 1668859755 33200
2022-11-19 12:06:15 1668859575 39368
2022-11-19 12:03:15 1668859395 43320
2022-11-19 12:00:15 1668859215 31256
2022-11-19 11:57:16 1668859036 31424
2022-11-19 11:54:15 1668858855 32456
2022-11-19 11:51:15 1668858675 30720
2022-11-19 11:48:15 1668858495 32752
2022-11-19 11:45:16 1668858316 31688
2022-11-19 11:42:15 1668858135 31664
2022-11-19 11:39:15 1668857955 33112
2022-11-19 11:36:15 1668857775 40008
2022-11-19 11:33:15 1668857595 42112
2022-11-19 11:30:15 1668857415 31536
2022-11-19 11:27:15 1668857235 31336
2022-11-19 11:24:15 1668857055 31992
2022-11-19 11:21:15 1668856875 31304
2022-11-19 11:18:16 1668856696 32896
2022-11-19 11:15:15 1668856515 31584
2022-11-19 11:12:15 1668856335 32760
2022-11-19 11:09:15 1668856155 32080
2022-11-19 11:06:15 1668855975 39680
2022-11-19 11:03:15 1668855795 43888
2022-11-19 11:00:15 1668855615 31712
2022-11-19 10:57:16 1668855436 31656
2022-11-19 10:54:15 1668855255 32296
2022-11-19 10:51:15 1668855075 32232
2022-11-19 10:48:15 1668854895 32480
2022-11-19 10:45:15 1668854715 31840
2022-11-19 10:42:15 1668854535 33168
2022-11-19 10:39:15 1668854355 29240
2022-11-19 10:36:15 1668854175 39712
2022-11-19 10:33:15 1668853995 41624
2022-11-19 10:30:15 1668853815 31176
2022-11-19 10:27:15 1668853635 31736
2022-11-19 10:24:15 1668853455 32328
2022-11-19 10:21:15 1668853275 31048
2022-11-19 10:18:15 1668853095 32528
2022-11-19 10:15:15 1668852915 31864
2022-11-19 10:12:15 1668852735 33488
2022-11-19 10:09:15 1668852555 31832
2022-11-19 10:06:15 1668852375 40368
2022-11-19 10:03:15 1668852195 43552
2022-11-19 10:00:15 1668852015 30936
2022-11-19 09:57:15 1668851835 32032
2022-11-19 09:54:15 1668851655 32080
2022-11-19 09:51:15 1668851475 31600
2022-11-19 09:48:15 1668851295 32704
2022-11-19 09:45:15 1668851115 31616
2022-11-19 09:42:16 1668850936 33544
2022-11-19 09:39:15 1668850755 32008
2022-11-19 09:36:15 1668850575 38216
2022-11-19 09:33:16 1668850396 41496
2022-11-19 09:30:15 1668850215 31248
2022-11-19 09:27:15 1668850035 31528
2022-11-19 09:24:15 1668849855 31344
2022-11-19 09:21:15 1668849675 32208
2022-11-19 09:18:15 1668849495 32320
2022-11-19 09:15:15 1668849315 31456
2022-11-19 09:12:16 1668849136 31960
2022-11-19 09:09:15 1668848955 32192
2022-11-19 09:06:15 1668848775 40528
2022-11-19 09:03:15 1668848595 43824
2022-11-19 09:00:15 1668848415 30832
2022-11-19 08:57:15 1668848235 31984
2022-11-19 08:54:15 1668848055 31168
2022-11-19 08:51:15 1668847875 32584
2022-11-19 08:48:15 1668847695 32576
2022-11-19 08:45:15 1668847515 31168
2022-11-19 08:42:15 1668847335 32408
2022-11-19 08:39:15 1668847155 32280
2022-11-19 08:36:15 1668846975 40416
2022-11-19 08:33:15 1668846795 40800
2022-11-19 08:30:15 1668846615 1949248
2022-11-19 08:27:15 1668846435 32184
2022-11-19 08:24:15 1668846255 31248
2022-11-19 08:21:15 1668846075 32184
2022-11-19 08:18:15 1668845895 32968
2022-11-19 08:15:15 1668845715 31664
2022-11-19 08:12:15 1668845535 32240
2022-11-19 08:09:15 1668845355 31984
2022-11-19 08:06:15 1668845175 40176
2022-11-19 08:03:15 1668844995 43032
2022-11-19 08:00:15 1668844815 31912
2022-11-19 07:57:15 1668844635 31856
2022-11-19 07:54:15 1668844455 31280
2022-11-19 07:51:16 1668844276 32088
2022-11-19 07:48:15 1668844095 32512
2022-11-19 07:45:15 1668843915 29760
2022-11-19 07:42:16 1668843736 32088
2022-11-19 07:39:16 1668843556 31720
2022-11-19 07:36:15 1668843375 40904
2022-11-19 07:33:15 1668843195 40352
2022-11-19 07:30:15 1668843015 32040
2022-11-19 07:27:15 1668842835 31720
2022-11-19 07:24:15 1668842655 31592
2022-11-19 07:21:15 1668842475 32360
2022-11-19 07:18:15 1668842295 31600
2022-11-19 07:15:15 1668842115 31760
2022-11-19 07:12:15 1668841935 31856
2022-11-19 07:09:15 1668841755 32264
2022-11-19 07:06:15 1668841575 40120
2022-11-19 07:03:15 1668841395 42552
2022-11-19 07:00:15 1668841215 32464
2022-11-19 06:57:16 1668841036 31416
2022-11-19 06:54:15 1668840855 31344
2022-11-19 06:51:15 1668840675 32280
2022-11-19 06:48:15 1668840495 30488
2022-11-19 06:45:16 1668840316 33352
2022-11-19 06:42:15 1668840135 32152
2022-11-19 06:39:15 1668839955 31480
2022-11-19 06:36:15 1668839775 40456
2022-11-19 06:33:16 1668839596 40536
2022-11-19 06:30:15 1668839415 31608
2022-11-19 06:27:15 1668839235 31760
2022-11-19 06:24:16 1668839056 30824
2022-11-19 06:21:15 1668838875 32096
2022-11-19 06:18:15 1668838695 31584
2022-11-19 06:15:15 1668838515 31592
2022-11-19 06:12:15 1668838335 31656
2022-11-19 06:09:15 1668838155 32984
2022-11-19 06:06:15 1668837975 40648
2022-11-19 06:03:16 1668837796 42024
2022-11-19 06:00:15 1668837615 32200
2022-11-19 05:57:15 1668837435 31520
2022-11-19 05:54:15 1668837255 30760
2022-11-19 05:51:15 1668837075 32120
2022-11-19 05:48:15 1668836895 31640
2022-11-19 05:45:15 1668836715 32016
2022-11-19 05:42:15 1668836535 31168
2022-11-19 05:39:15 1668836355 33168
2022-11-19 05:36:15 1668836175 40408
2022-11-19 05:33:15 1668835995 40432
2022-11-19 05:30:16 1668835816 32480
2022-11-19 05:27:15 1668835635 30952
2022-11-19 05:24:16 1668835456 31664
2022-11-19 05:21:15 1668835275 32304
2022-11-19 05:18:15 1668835095 31936
2022-11-19 05:15:16 1668834916 32528
2022-11-19 05:12:15 1668834735 31360
2022-11-19 05:09:16 1668834556 32872
2022-11-19 05:06:15 1668834375 40824
2022-11-19 05:03:15 1668834195 42128
2022-11-19 05:00:16 1668834016 32112
2022-11-19 04:57:15 1668833835 32384
2022-11-19 04:54:16 1668833656 32224
2022-11-19 04:51:15 1668833475 31624
2022-11-19 04:48:15 1668833295 32200
2022-11-19 04:45:15 1668833115 31632
2022-11-19 04:42:15 1668832935 28688
2022-11-19 04:39:15 1668832755 33024
2022-11-19 04:36:15 1668832575 40256
2022-11-19 04:33:15 1668832395 40392
2022-11-19 04:30:16 1668832216 32200
2022-11-19 04:27:15 1668832035 31288
2022-11-19 04:24:15 1668831855 31752
2022-11-19 04:21:15 1668831675 32280
2022-11-19 04:18:15 1668831495 32576
2022-11-19 04:15:16 1668831316 32040
2022-11-19 04:12:15 1668831135 33576
2022-11-19 04:09:15 1668830955 33240
2022-11-19 04:06:15 1668830775 40232
2022-11-19 04:03:15 1668830595 42864
2022-11-19 04:00:16 1668830416 33176
2022-11-19 03:57:15 1668830235 31056
2022-11-19 03:54:15 1668830055 31848
2022-11-19 03:51:15 1668829875 31568
2022-11-19 03:48:15 1668829695 32768
2022-11-19 03:45:15 1668829515 31616
2022-11-19 03:42:15 1668829335 30984
2022-11-19 03:39:15 1668829155 34296
2022-11-19 03:36:15 1668828975 36616
2022-11-19 03:33:15 1668828795 40952
2022-11-19 03:30:15 1668828615 32056
2022-11-19 03:27:15 1668828435 31184
2022-11-19 03:24:15 1668828255 32064
2022-11-19 03:21:15 1668828075 31368
2022-11-19 03:18:15 1668827895 33008
2022-11-19 03:15:15 1668827715 31472
2022-11-19 03:12:16 1668827536 31544
2022-11-19 03:09:15 1668827355 33016
2022-11-19 03:06:15 1668827175 39728
2022-11-19 03:03:15 1668826995 42560
2022-11-19 03:00:15 1668826815 31912
2022-11-19 02:57:15 1668826635 31672
2022-11-19 02:54:16 1668826456 31584
2022-11-19 02:51:15 1668826275 452304
2022-11-19 02:48:15 1668826095 32616
2022-11-19 02:45:15 1668825915 31576
2022-11-19 02:42:15 1668825735 31104
2022-11-19 02:39:15 1668825555 33320
2022-11-19 02:36:15 1668825375 40168
2022-11-19 02:33:15 1668825195 41320
2022-11-19 02:30:15 1668825015 31152
2022-11-19 02:27:15 1668824835 32032
2022-11-19 02:24:15 1668824655 31712
2022-11-19 02:21:15 1668824475 32488
2022-11-19 02:18:15 1668824295 33360
2022-11-19 02:15:15 1668824115 31016
2022-11-19 02:12:16 1668823936 31728
2022-11-19 02:09:15 1668823755 33216
2022-11-19 02:06:15 1668823575 41384
2022-11-19 02:03:16 1668823396 43008
2022-11-19 02:00:15 1668823215 31096
2022-11-19 01:57:15 1668823035 32656
2022-11-19 01:54:15 1668822855 31576
2022-11-19 01:51:15 1668822675 28520
2022-11-19 01:48:16 1668822496 35904
2022-11-19 01:45:15 1668822315 28632
2022-11-19 01:42:15 1668822135 32288
2022-11-19 01:39:16 1668821956 33184
2022-11-19 01:36:15 1668821775 39176
2022-11-19 01:33:15 1668821595 43848
2022-11-19 01:30:16 1668821416 31088
2022-11-19 01:27:15 1668821235 31624
2022-11-19 01:24:15 1668821055 31512
2022-11-19 01:21:15 1668820875 31744
2022-11-19 01:18:15 1668820695 34168
2022-11-19 01:15:15 1668820515 31080
2022-11-19 01:12:15 1668820335 31952
2022-11-19 01:09:15 1668820155 32944
2022-11-19 01:06:15 1668819975 40552
2022-11-19 01:03:15 1668819795 42864
2022-11-19 01:00:15 1668819615 31024
2022-11-19 00:57:15 1668819435 32520
2022-11-19 00:54:15 1668819255 32728
2022-11-19 00:51:15 1668819075 31080
2022-11-19 00:48:15 1668818895 32840
2022-11-19 00:45:15 1668818715 30952
2022-11-19 00:42:15 1668818535 28376
2022-11-19 00:39:15 1668818355 31800
2022-11-19 00:36:15 1668818175 40848
2022-11-19 00:33:15 1668817995 40592
2022-11-19 00:30:15 1668817815 31232
2022-11-19 00:27:15 1668817635 32456
2022-11-19 00:24:15 1668817455 31040
2022-11-19 00:21:15 1668817275 31920
2022-11-19 00:18:15 1668817095 32640
2022-11-19 00:15:16 1668816916 31336
2022-11-19 00:12:15 1668816735 31424
2022-11-19 00:09:15 1668816555 32224
2022-11-19 00:06:15 1668816375 41256
2022-11-19 00:03:16 1668816196 42560
2022-11-19 00:00:15 1668816015 31712
2022-11-18 23:57:16 1668815836 32272
2022-11-18 23:54:15 1668815655 32112
2022-11-18 23:51:15 1668815475 30984
2022-11-18 23:48:16 1668815296 33328
2022-11-18 23:45:15 1668815115 32000
2022-11-18 23:42:16 1668814936 31856
2022-11-18 23:39:15 1668814755 32192
2022-11-18 23:36:15 1668814575 40456
2022-11-18 23:33:16 1668814396 40880
2022-11-18 23:30:15 1668814215 31752
2022-11-18 23:27:16 1668814036 32296
2022-11-18 23:24:15 1668813855 30944
2022-11-18 23:21:16 1668813676 31800
2022-11-18 23:18:15 1668813495 32024
2022-11-18 23:15:15 1668813315 31696
2022-11-18 23:12:15 1668813135 31968
2022-11-18 23:09:15 1668812955 32032
2022-11-18 23:06:15 1668812775 41624
2022-11-18 23:03:15 1668812595 43232
2022-11-18 23:00:16 1668812416 32600
2022-11-18 22:57:15 1668812235 32192
2022-11-18 22:54:15 1668812055 31464
2022-11-18 22:51:15 1668811875 28736
2022-11-18 22:48:15 1668811695 31952
2022-11-18 22:45:15 1668811515 32448
2022-11-18 22:42:15 1668811335 31736
2022-11-18 22:39:15 1668811155 32832
2022-11-18 22:36:15 1668810975 41288
2022-11-18 22:33:15 1668810795 40352
2022-11-18 22:30:15 1668810615 33256
2022-11-18 22:27:15 1668810435 31600
2022-11-18 22:24:15 1668810255 32432
2022-11-18 22:21:15 1668810075 32128
2022-11-18 22:18:16 1668809896 31856
2022-11-18 22:15:15 1668809715 32504
2022-11-18 22:12:16 1668809536 31368
2022-11-18 22:09:15 1668809355 32928
2022-11-18 22:06:15 1668809175 40808
2022-11-18 22:03:15 1668808995 42360
2022-11-18 22:00:15 1668808815 31808
